"address","city","zipcode","latitude","longitude"
"250 Elizabeth Lake Rd","Pontiac",48341,42.641877,-83.317934
"114 Orchard Lk Rd","Pontiac",48341,42.635124,-83.295901
"239 State St","Pontiac",48341,42.639938,-83.307198
"35 W Huron St","Pontiac",48342,42.638152,-83.294158
"989 University Dr.","Pontiac",48342,42.654596,-83.263622
"79 Oakland Ave.","Pontiac",48342,42.641986,-83.295838
"673 Martin Luther King Jr. Blvd. North","Pontiac",48342,42.65573,-83.277262
"809 Bay St","Pontiac",48342,42.660673,-83.25483
"54 Seneca St","Pontiac",48342,42.642415,-83.289065
"6549 Town Center Dr","Clarkston",48346,42.730012,-83.381212
"6887 Dixie Hwy","Clarkston",48346,42.722917,-83.424513
"3590 Mann Rd","Clarkston",48346,42.702889,-83.359195
"2380 S Milford Rd","Highland",48357,42.617914,-83.616117
"210 W. Highland Rd., Ste. 102","Highland",48357,42.642243,-83.621352
"4005 S Baldwin Rd","Lake Orion",48359,42.722008,-83.304949
"1720 W Scripps Rd","Lake Orion",48360,42.750048,-83.280836
"455 E Scripps Rd Rm 201","Lake Orion",48360,42.753918,-83.239421
"1455 S Lapeer Rd","Lake Orion",48360,42.76033,-83.242448
"930 E Drahner Rd.","Oxford",48371,42.815233,-83.232405
"1450 S Lapeer Rd","Oxford",48371,42.805349,-83.249565
"25345 Taft Rd.","Novi",48374,42.47781,-83.495418
"40000 Grand River Ave Ste 306","Novi",48375,42.47586,-83.440784
"24230 Karim Blvd","Novi",48375,42.468855,-83.438489
"43000 W 9 Mile Rd Ste 216","Novi",48375,42.453192,-83.469561
"23965 Novi Rd Ste 160","Novi",48375,42.464971,-83.475391
"28175 Haggerty Rd","Novi",48377,42.500275,-83.437801
"39450 W Twelve Mile Rd Ste 2B","Novi",48377,42.451636,-83.445825
"3070 Berkshire Ct","Milford",48380,42.600709,-83.647211
"120 S Main St Ste C","Milford",48381,42.586577,-83.600981
"1800 N Milford Rd","Milford",48381,42.607929,-83.611499
"1010 E Maple Rd Suite 100","Walled Lake",48390,42.537236,-83.585456
"1885 N Pontiac Trail","Walled Lake",48390,42.550064,-83.465343
"1010 E Maple Rd Suite 200","Walled Lake",48390,42.537236,-83.585456
"3395 Timberlake Dr","Walled Lake",48390,42.573337,-83.488358
